"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Mishra P.; Dutt N.","Mishra, Prabhat (57211884174); Dutt, Nikil (7006041384)","57211884174; 7006041384","Architecture description languages","2007","Customizable Embedded Processors","","","","59","76","17","0","10.1016/B978-012369526-0/50005-X","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84882412703&doi=10.1016%2fB978-012369526-0%2f50005-X&partnerID=40&md5=2517e6b255c0c38cd2a28cf97f559ab5","Architecture description languages (ADL) enable design automation of embedded processors. The ADL specification is used to generate various executable models, including simulator, compiler, and hardware implementation. The generated models enable various design automation tasks, including exploration, simulation, compilation, synthesis, test generation, and validation. This chapter reviews the existing ADLs in terms of their capabilities in capturing a variety of embedded processors available currently. Existing ADLs can be classified based on two aspects: content and objective. The content-oriented classification is based on the nature of the information an ADL can capture, whereas the objective-oriented classification is based on the purpose of an ADL. Existing ADLs can be classified into various content-based categories, such as structural, behavioral, and mixed ADLs. Similarly, contemporary ADLs can be classified into various objective-oriented categories, such as simulation oriented, synthesis oriented, test oriented, compilation oriented, and validation oriented. © 2007 Elsevier Inc. All rights reserved.","","","Book chapter","Final","","Scopus","2-s2.0-84882412703"
"Hugues J.; Brau G.","Hugues, Jérôme (35494793200); Brau, Guillaume (56830450300)","35494793200; 56830450300","Analysis as a first-class citizen: An application to architecture description languages","2014","Proceedings - IEEE 17th International Symposium on Object/Component/Service-Oriented Real-Time Distributed Computing, ISORC 2014","","","6899152","214","221","7","2","10.1109/ISORC.2014.60","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84941308988&doi=10.1109%2fISORC.2014.60&partnerID=40&md5=81434262100b47f02e11852a59adff03","Architecture Description Languages (ADLs) support modeling and analysis of systems through models transformation and exploration. Various contributions made proposals to bring verification capabilities to designers through model-based frame-works and illustrated benefits to the overall system quality. Model-level analyses are usually performed as an exogenous, unidirectional and semantically weak transformation towards a third-party model. We claim such process can be incomplete and/or inefficient because gathered results lead to evolution of the primary model. This is particularly problematic for the design of Distributed Real-Time Embedded (DRE) systems that has to tackle many concerns like time, security or safety. In this paper, we argue why analysis should no longer be considered as a side step in the design process but, rather, should be embedded as a first-class citizen in the model itself. We review several standardized architecture description languages, which consider analysis as a goal. As an element of solution, we introduce current work on the definition of a language dedicated to the analysis of models within the scope of one particular ADL, namely the Architecture Analysis and Design Language (AADL). © 2014 IEEE.","AADL; ACL; Analysis; MDE; V&V","Embedded systems; Modeling languages; AADL; Analysis; Architecture analysis and design language (AADL); Architecture description languages; Distributed real-time embedded systems; Model and analysis; Model-based OPC; Models transformations; Real time systems","Conference paper","Final","All Open Access; Green Open Access","Scopus","2-s2.0-84941308988"
"Rakossy Z.E.; Aponte A.A.; Chattopadhyay A.","Rakossy, Zoltan Endre (55567456000); Aponte, Axel Acosta (57214776790); Chattopadhyay, Anupam (55553030400)","55567456000; 57214776790; 55553030400","Exploiting architecture description language for diverse IP synthesis in heterogeneous MPSoC","2013","2013 International Conference on Reconfigurable Computing and FPGAs, ReConFig 2013","","","6732287","","","","9","10.1109/ReConFig.2013.6732287","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84894415590&doi=10.1109%2fReConFig.2013.6732287&partnerID=40&md5=e4b3abf1dc98d190a2ed04b08c0ec543","High Level Synthesis (HLS) and design is gaining traction in commercial and academic circles, as an answer to increasing design complexity and short time-to-market. In this paper, we present a short survey on the HLS landscape and propose modeling concepts to extract and exploit the inherent flexibility for a commercially available high-level design tool, to explore ASIC and CGRA besides native ASIP support. Structural descriptions, representation, flexibility and limitations are discussed. Several case studies help highlight the advantages of the proposed methods, providing a solid framework to aid a broader and faster design space exploration. © 2013 IEEE.","ADL Modeling; Coarse-Grained Reconfigurable Architecture (CGRA); High-level Modeling; Tunable Flexibility","Reconfigurable architectures; Architecture description languages; Coarse grained reconfigurable architecture; Design space exploration; High-level modeling; High-level synthesis; Inherent flexibility; Structural descriptions; Tunable Flexibility; Microprocessor chips","Conference paper","Final","","Scopus","2-s2.0-84894415590"
"Hugues J.; Singhoff F.","Hugues, Jérôme (35494793200); Singhoff, Frank (8409966000)","35494793200; 8409966000","AADLv2, an architecture description language for the analysis and generation of embedded systems","2013","2013 International Conference on Compilers, Architecture and Synthesis for Embedded Systems, CASES 2013","","","6662504","","","","0","10.1109/CASES.2013.6662504","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84892666011&doi=10.1109%2fCASES.2013.6662504&partnerID=40&md5=b94b131179b194ea0f9f2c8f17496a36","The Architecture Analysis and Design Language (AADL) is an SAE International Standard dedicated to the precise modeling of complex embedded systems, covering both hardware and software concerns. Its definition relies on a precise set of concepts inherited from industry and academics best practice: clear separation of concerns among layers, rich set of properties to document system metrics and support for many kind of analysis: scheduling, safety and reliability, performance, but also code generation. In this tutorial, we provide an overview of AADLv2 and illustrate how several analyses can be combined on an illustrative example: a UAV platform. © 2013 IEEE.","","Accident prevention; Modeling languages; Program compilers; Reliability analysis; Architecture analysis and design language (AADL); Architecture description languages; Code Generation; Hardware and software; International standards; Precise modeling; Separation of concerns; System metrics; Embedded systems","Conference paper","Final","","Scopus","2-s2.0-84892666011"
"Hugues J.; Singhoff F.","Hugues, Jérôme (35494793200); Singhoff, Frank (8409966000)","35494793200; 8409966000","AADLv2, an architecture description language for the analysis and generation of embedded systems","2013","2013 Proceedings of the International Conference on Embedded Software, EMSOFT 2013","","","6658578","","","","1","10.1109/EMSOFT.2013.6658578","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84892629738&doi=10.1109%2fEMSOFT.2013.6658578&partnerID=40&md5=0c2bcff1daf87d374140c9abdda9004c","The Architecture Analysis and Design Language (AADL) is an SAE International Standard dedicated to the precise modeling of complex embedded systems, covering both hardware and software concerns. Its definition relies on a precise set of concepts inherited from industry and academics best practice: clear separation of concerns among layers, rich set of properties to document system metrics and support for many kind of analysis: scheduling, safety and reliability, performance, but also code generation. In this tutorial, we provide an overview of AADLv2 and illustrate how several analyses can be combined on an illustrative example: a UAV platform. © 2013 IEEE.","","Accident prevention; Embedded software; Modeling languages; Reliability analysis; Architecture analysis and design language (AADL); Architecture description languages; Code Generation; Hardware and software; International standards; Precise modeling; Separation of concerns; System metrics; Embedded systems","Conference paper","Final","","Scopus","2-s2.0-84892629738"
"Savaton G.; Béchennec J.-L.; Briday M.; Kassem R.","Savaton, Guillaume (6506524346); Béchennec, Jean-Luc (6603269962); Briday, Mikaël (8377509000); Kassem, Rola (34976967800)","6506524346; 6603269962; 8377509000; 34976967800","An architecture description language for embedded hardware platforms","2011","Electronic Communications of the EASST","44","","","","","16","1","10.14279/tuj.eceasst.44.668.681","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84873400114&doi=10.14279%2ftuj.eceasst.44.668.681&partnerID=40&md5=0656a7e209ca8b3bba1b200b23031594","Embedded software development relies on various tools - compilers, simulators, execution time estimators - that encapsulate a more-or-less detailed knowledge of the target hardware platform. These tools can be costly to develop and maintain: significant benefits could be expected if they were automatically gen- erated from models expressed in a dedicated modeling language. In contrast with Hardware Description Languages (HDLs), that focus on the internal structure and behavior of an electronic board of chip, Hardware Architecture De- scription Languages consider hardware as a platform for software execution. Such a platform will be described in terms of low-level programming interface (processor instruction set), resources (processing elements, memory and peripheral devices) and elementary services (arithmetic and logic operations, bus transactions). This paper gives an overview of HARMLESS (Hardware ARchitecture Modeling Language for Embedded Software Simulation), a new domain-specific language for modeling embedded hardware platforms. HARMLESS and its associated tools fol- low the Model-Driven Engineering philosophy: metamodeling and model transfor- mations have been successfully applied to the automatic generation of processor simulators. © OCL and Textual Modelling 2011.","Architecture description language; Computer architecture; Model-Driven Engineering; Simulation","","Conference paper","Final","","Scopus","2-s2.0-84873400114"
"Hugues J.; Singhoff F.","Hugues, Jérôme (35494793200); Singhoff, Frank (8409966000)","35494793200; 8409966000","AADLv2, an architecture description language for the analysis and generation of embedded systems","2013","2013 International Conference on Hardware/Software Codesign and System Synthesis, CODES+ISSS 2013","","","6658987","","","","0","10.1109/CODES-ISSS.2013.6658987","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84892650488&doi=10.1109%2fCODES-ISSS.2013.6658987&partnerID=40&md5=7776373fd299f3269e0dc9e0c41c2ebe","The Architecture Analysis and Design Language (AADL) is an SAE International Standard dedicated to the precise modeling of complex embedded systems, covering both hardware and software concerns. Its definition relies on a precise set of concepts inherited from industry and academics best practice: clear separation of concerns among layers, rich set of properties to document system metrics and support for many kind of analysis: scheduling, safety and reliability, performance, but also code generation. In this tutorial, we provide an overview of AADLv2 and illustrate how several analyses can be combined on an illustrative example: a UAV platform. © 2013 IEEE.","","Accident prevention; Embedded systems; Hardware; Architecture analysis and design language (AADL); Architecture description languages; Code Generation; Hardware and software; International standards; Precise modeling; Separation of concerns; System metrics; Reliability analysis","Conference paper","Final","","Scopus","2-s2.0-84892650488"
"Egyhazy C.","Egyhazy, Csaba (6603895246)","6603895246","Comparison of five architecture description languages on design focus, security and style","2007","ICEIS 2007 - 9th International Conference on Enterprise Information Systems, Proceedings","ISAS","","","270","277","7","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-70349576706&partnerID=40&md5=e13b9ecd7e80eb57147adbb9e0e072cb","With the increasing complexity and size of software systems, defining and specifying software architectures becomes an important part of the software development process. In the past, many software architectures have been described and modeled in an ad hoc and informal manner. For the past 20 years, Architecture Description Languages (ADLs) have been proposed to facilitate the description and modeling of software architectures. This paper reviews the history of ADLs, selects five of them, and compares them based on their design focus, security modeling, and styles modelling.","Architecture description language; Component; Configuration; Connector; High-level abstraction; Interface","Abstracting; Computational complexity; Computer software; High level languages; Information systems; Large scale systems; Linguistics; Query languages; Systems analysis; Architecture description language; Component; Configuration; Connector; High-level abstraction; Interface; Software architecture","Conference paper","Final","","Scopus","2-s2.0-70349576706"
"Li J.; Pilkington N.T.; Xie F.; Liu Q.","Li, Juncao (24478357200); Pilkington, Nicholas T. (24829716200); Xie, Fei (57201581820); Liu, Qiang (56818103100)","24478357200; 24829716200; 57201581820; 56818103100","Embedded architecture description language","2008","Proceedings - International Computer Software and Applications Conference","","","4591530","36","43","7","2","10.1109/COMPSAC.2008.121","https://www.scopus.com/inward/record.uri?eid=2-s2.0-51949088891&doi=10.1109%2fCOMPSAC.2008.121&partnerID=40&md5=0f6667486db8599546a7d5197a16743f","In the state-of-the-art hardware/software (HW/SW) co-design of embedded systems, there is a lack of sufficient support for architectural specifications across HW/SW boundaries. Such an architectural specification ought to capture both hardware and software components and their interactions, and facilitate effective design exploitation of HW/SW trade-offs and scalable HW/SW co-verification. In this paper, we present the embedded architecture description language (EADL). It is based on a component model for embedded systems that unifies hardware and software components. EADL does not dictate execution and interface semantics of hardware and software components while supporting flexible platform-oriented semantics instantiation. EADL supports concise representation of embedded system architectures and also formulation of architectural patterns of embedded systems. Besides facilitating design reuse, architectural patterns also facilitate verification reuse via association of property templates with these patterns. Effectiveness of EADL has been demonstrated by its successful application in integrating component-based co-design, cosimulation, co-verification, and system synthesis. © 2008 IEEE.","","Computer applications; Computer hardware; Computer programming languages; Computer software; Computer software selection and evaluation; Computers; Embedded systems; Information theory; Integrated circuits; Large scale systems; Linguistics; Semantics; Software design; Specifications; Systems analysis; Verification; Word processing; Architectural patterns; Architectural specifications; Co designs; Co-simulation; Co-verification; Component modelling; Component-based; Concise representations; Design re-use; Embedded architectures; Embedded system architectures; Flexible platforms; Hardware and software components; Hardware/software co-design; System synthesis; Architectural design","Conference paper","Final","All Open Access; Green Open Access","Scopus","2-s2.0-51949088891"
"Mishra P.; Dutt N.","Mishra, P. (57211884174); Dutt, N. (7006041384)","57211884174; 7006041384","Architecture description languages for programmable embedded systems","2005","IEE Proceedings: Computers and Digital Techniques","152","3","","285","297","12","53","10.1049/ip-cdt:20045071","https://www.scopus.com/inward/record.uri?eid=2-s2.0-22944474604&doi=10.1049%2fip-cdt%3a20045071&partnerID=40&md5=f365a9b00f814c7b0ad26785834b122a","Embedded systems present a tremendous opportunity to customise designs by exploiting the application behaviour. Shrinking time-to-market, coupled with short product lifetimes, create a critical need for rapid exploration and evaluation of candidate architectures. Architecture description languages (ADL) enable exploration of programmable architectures for a given set of application programs under various design constraints such as area, power and performance. The ADL is used to specify programmable embedded systems, including processor, coprocessor and memory architectures. The ADL specification is used to generate a variety of software tools and models facilitating exploration and validation of candidate architectures. The paper surveys the existing ADLs in terms of (a) the inherent features of the languages and (b) the methodologies they support to enable simulation, compilation, synthesis, test generation and validation of programmable embedded systems. It concludes with a discussion of the relative merits and demerits of the existing ADLs and expected features of future ADLs. © IEE, 2005.","","Computer hardware description languages; Computer operating systems; Computer simulation; Constraint theory; Embedded systems; Object oriented programming; Real time systems; Storage allocation (computer); Architecture description languages (ADL); Connection operation graph (COG); Content-based classification; Programmable embedded systems; Computer architecture","Conference paper","Final","","Scopus","2-s2.0-22944474604"
