"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Ozbek N.S.","Ozbek, Necdet Sinan (56577802800)","56577802800","Co-Design Approach and Co-Simulation Tools for Networked Cyber-Physical Control Systems","2020","2020 International Conference on Innovation and Intelligence for Informatics, Computing and Technologies, 3ICT 2020","","","9311967","","","","2","10.1109/3ICT51146.2020.9311967","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100252207&doi=10.1109%2f3ICT51146.2020.9311967&partnerID=40&md5=78cc7f1981904adedbb098bd27e9b33d","Networked cyber-physical systems, which are formed by the synthesis of computational strategies, communication techniques as well as control theory, have recently received a great deal of attention in the control engineering framework. However, the design, analysis, and synthesis of networked control systems bring a number of challenges due to the network-induced imperfections. With this motivation in mind, the objectives of the current research are twofold. Firstly, an overview of the most important network-induced constraints is provided. Then, the co-design approach and co-simulation tools devoted to networked control system applications are discussed. The problems between the communication medium and the control method are elaborated. From this aspect, the present research provides a practical guide of simulation platforms devoted to networked control system applications.  © 2020 IEEE.","cyber physical systems; industrial internet of things; network induced imperfections; networked control; system performance","Computation theory; Control system analysis; Control system synthesis; Cyber Physical System; Embedded systems; Co-design approach; Communication medium; Communication techniques; Computational strategy; Control methods; Engineering frameworks; Networked cyber-physical systems; Practical guide; Networked control systems","Conference paper","Final","","Scopus","2-s2.0-85100252207"
"Posadas H.; Villar E.; Ragot D.; Martinez M.","Posadas, H. (6508198832); Villar, E. (7005735445); Ragot, Dominique (36180234800); Martinez, Marcos (55238298100)","6508198832; 7005735445; 36180234800; 55238298100","Early modeling of Linux-based RTOS platforms in a SystemC time-approximate co-simulation environment","2010","ISORC 2010 - 2010 13th IEEE International Symposium on Object/Component/Service-Oriented Real-Time Distributed Computing","1","","5479550","238","244","6","6","10.1109/ISORC.2010.18","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77954798598&doi=10.1109%2fISORC.2010.18&partnerID=40&md5=391511b5265d19829dac49f7dbcd6723","The increase of computational power in embedded systems has allowed integrating together hard real-time tasks and rich applications. Complex SW infrastructures containing both RTOS and GPOS are required to handle this complexity. To optimally map system functionality to the hard-RT SW domain, to the general purpose SW domain or to HW peripherals, early performance evaluations at the first steps of the design process are required. Approximate timed co-simulation has been proposed as a fast solution for system modeling at early design steps. This co-simulation technique allows simulating systems at speed close to functional execution, while considering timing effects. As a consequence, system performance estimations can be obtained early, allowing efficient design space exploration and system refinement. To achieve fast simulation speed, the SW code is pre-annotated with time information. The annotated code is then natively executed, performing what is called native-based co-simulation. Previous native-based simulation environments are not prepared to model multi-OS systems, so the performance evaluation of the different SW domains is not possible. This paper proposes a new embedded system modeling solution considering dual RTOS/GPOS systems. A real Linux-based infrastructure has been modeled an integrated into a state-of-the-art co-simulation environment. The resulting solution is capable of modeling and evaluating all HW and SW system components providing the designer with valuable information for early system optimization and design space exploration. © 2010 IEEE.","Approximately-timed; Co-simulation; Realtime linux; TLM","Circuit simulation; Computer operating systems; Design; Distributed computer systems; Embedded systems; Fuzzy control; Space research; At-speed; Computational power; Cosimulation; Design process; Design steps; Efficient designs; Fast simulation; Fast solutions; General purpose; Hard real-time task; MAP systems; Performance estimation; Performance evaluation; Real-time Linux; Simulating system; Simulation environment; System components; System modeling; System optimizations; System refinement; SystemC; Time information; Real time systems","Conference paper","Final","","Scopus","2-s2.0-77954798598"
"Oakes B.J.; Gomes C.; Holzinger F.R.; Benedikt M.; Denil J.; Vangheluwe H.","Oakes, Bentley James (56289881100); Gomes, Cláudio (56492272400); Holzinger, Franz Rudolf (56588831200); Benedikt, Martin (55679805000); Denil, Joachim (35145566200); Vangheluwe, Hans (6602402077)","56289881100; 56492272400; 56588831200; 55679805000; 35145566200; 6602402077","Hint-based configuration of co-simulations with algebraic loops","2021","Advances in Intelligent Systems and Computing","1260 AISC","","","1","28","27","7","10.1007/978-3-030-55867-3_1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089655271&doi=10.1007%2f978-3-030-55867-3_1&partnerID=40&md5=99f1b30ff62c55de78b5c56a9acb7e7f","Co-simulation is a powerful technique for performing full-system simulation. Multiple black-box models and their simulators are combined together to provide the behaviour for a full system. However, the black-box nature of co-simulation and potentially infinite configuration space means that configuration of co-simulations is a challenging problem for today’s practitioners. Our previous work on co-simulation configuration operated on the notion of hints, which allow system engineers to encode their knowledge and insights about the system. These hints, combined with state-of-the-art best practices, can then be used to semi-automatically configure the co-simulation. We summarize our previous hint-based configuration work here, and explore the challenging problem of scheduling co-simulations which contain algebraic loops. Solving or “breaking” these loops is required for scheduling, yet this breaking process can induce errors in the co-simulation. This work formalizes this scheduling problem, presents our insights gained about the problem, and details an optimal search algorithm as well as greedy scheduling algorithms. These heuristic algorithms are evaluated on (synthetic) co-simulation scenarios to determine their relative speedup and optimality. © Springer Nature Switzerland AG 2021.","","Algebra; Optimization; Scheduling; Black-box model; Breaking process; Configuration space; Full-system simulation; Greedy scheduling algorithms; Scheduling problem; State of the art; System engineers; Heuristic algorithms","Conference paper","Final","","Scopus","2-s2.0-85089655271"
"Buraimoh E.; Ozkan G.; Timilsina L.; Chamarthi P.K.; Papari B.; Edrington C.S.","Buraimoh, Elutunji (57204915038); Ozkan, Gokhan (57211273901); Timilsina, Laxman (57823453400); Chamarthi, Phani Kumar (56429539300); Papari, Behnaz (49864289800); Edrington, Christopher S. (7801360877)","57204915038; 57211273901; 57823453400; 56429539300; 49864289800; 7801360877","Overview of Interface Algorithms, Interface Signals, Communication and Delay in Real-Time Co-Simulation of Distributed Power Systems","2023","IEEE Access","11","","","103925","103955","30","7","10.1109/ACCESS.2023.3317250","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173023395&doi=10.1109%2fACCESS.2023.3317250&partnerID=40&md5=3ebbcd231ce039200e4eca5c4b2af496","In recent years, there has been growing research interest in the virtual integration of hardware and software assets across different geographical locations. However, achieving joint real-time simulation in virtually connected laboratories presents several challenges that must be addressed. One critical aspect involves selecting suitable interface algorithms to conserve energy, ensure signal decomposition, and reconstruct data accurately, thereby preventing distortions. Additionally, communication latencies must be taken into account to maintain experiment fidelity. The establishment of fast and reliable communication between real-time simulators in different laboratories through coupling interfaces, is of utmost importance for successful real-time co-simulation. Nevertheless, assuming the constant availability of reliable and delay-free communication is unrealistic, which can lead to performance degradation and system instability. These requirements pose significant obstacles to implementing virtual integration involving various real-time simulators and hardware-in-the-loop setups across diverse laboratories. The real-time co-simulation of power systems, in particular, is highly susceptible to ineffective interface algorithms, signal decomposition, and reconstruction, as well as communication delays, potentially causing loss of synchronism and negatively impacting simulation fidelity. Consequently, these limitations render such setups unsuitable for dynamic and transient studies. In light of these challenges, this paper aims to provide an overview of interface algorithms, signal decomposition and reconstruction techniques, communication protocols, and delay compensation approaches. The goal is to ensure system fidelity, enhance coupling point modeling, and improve the accuracy of real-time co-simulation in virtual environments across long distances while preserving ongoing research confidentiality, safeguarding intellectual property, and facilitating collaborative research.  © 2013 IEEE.","Communications latency; delay compensation; interface algorithms; power system real-time co-simulation; signal decomposition","Computer software; Interactive computer systems; Laboratories; Signal reconstruction; System stability; Virtual reality; Communication latency; Computational modelling; Cosimulation; Delay; Delay compensation; Hardware; Interface algorithm; Low-latency communication; Power; Power system; Power system real-time co-simulation; Power systems stability; Real - Time system; Signal decomposition; Signal resolution; Real time systems","Review","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85173023395"
"Coleman J.W.; Lausdahl K.; Larsen P.G.","Coleman, Joey W. (7402803457); Lausdahl, Kenneth (35186177400); Larsen, Peter Gorm (7401562142)","7402803457; 35186177400; 7401562142","Semantics of co-simulation","2014","Collaborative Design for Embedded Systems: Co-Modelling and Co-Simulation","","","","273","292","19","0","10.1007/978-3-642-54118-6_13","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84956482460&doi=10.1007%2f978-3-642-54118-6_13&partnerID=40&md5=e3f2df58aa68968061d1bee6eb1fe280","This chapter provides an overview of the formal operational semantics for a co-simulation framework to support the multidisciplinary modelling of embedded systems. Following a master/slave architecture, discrete-event and continuous-time simulations proceed in their own engines, but under the control of a coordinating co-simulation layer. The semantics are extended to accommodate a scripting language that permits co-simulation over predefined scenarios. © Springer-Verlag Berlin Heidelberg 2014.","","Embedded systems; Continuous-time; Cosimulation; Discrete events; Operational semantics; Scripting languages; Semantics","Book chapter","Final","","Scopus","2-s2.0-84956482460"
"Makhmalbaf A.; Fuller J.; Srivastava V.; Ciraci S.; Daily J.","Makhmalbaf, Atefe (36167063600); Fuller, Jason (36650696100); Srivastava, Viraj (55550264900); Ciraci, Selim (24829360900); Daily, Jeff (22979082200)","36167063600; 36650696100; 55550264900; 24829360900; 22979082200","Co-simulation of detailed whole building with the power system to study smart grid applications","2014","2014 IEEE Conference on Technologies for Sustainability, SusTech 2014","","","7046242","192","198","6","9","10.1109/SusTech.2014.7046242","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84946693368&doi=10.1109%2fSusTech.2014.7046242&partnerID=40&md5=0d88ea3840e8adbbfadc466a1d3d139a","Modernization of the power system in a way that ensures a sustainable energy system is arguably one of the most pressing concerns of our time. Buildings are important components in the power system. First, they are the main consumers of electricity and secondly, they do not have constant energy demand. Conventionally, electricity has been difficult to store and should be consumed as it is generated. Therefore, maintaining the demand and supply is critical in the power system. However, to reduce the complexity of power models, buildings (i.e., end-use loads) are traditionally modeled and represented as aggregated 'dumb' nodes in the power system. This means we lack effective detailed whole building energy models that can support requirements and emerging technologies of the smart power grid. To gain greater insight into the relationship between building energy demand and power system performance, it is important to constitute a co-simulation framework to support detailed building energy modeling and simulation within the power system to study capabilities promised by the modern power grid. This paper discusses ongoing work at Pacific Northwest National Laboratory and presents underlying tools and framework needed to enable co-simulation of building, building energy systems and their control in the power system to study applications such as demand response, grid-based HVAC control, and deployment of buildings for ancillary services. The optimal goal is to develop an integrated modeling and simulation platform that is flexible, reusable, and scalable. Results of this work will contribute to future building and power system studies, especially those related to the integrated 'smart grid'. Results are also expected to advance power resiliency and local (micro) scale grid studies where several building and renewable energy systems transact energy directly. This paper also reviews some applications that can be supported and studied using the framework introduced to understand their implications before they can be successfully implemented in the power system. © 2014 IEEE.","","Buildings; Climate control; Electric power distribution; Energy management; Renewable energy resources; Smart power grids; Building energy demands; Building energy systems; Emerging technologies; Pacific northwest national laboratories; Power system performance; Renewable energy systems; Smart grid applications; Sustainable energy systems; Electric power system control","Conference paper","Final","","Scopus","2-s2.0-84946693368"
"Tuli S.; Casale G.; Jennings N.R.","Tuli, Shreshth (57208274339); Casale, Giuliano (21742204200); Jennings, Nicholas R. (7005888644)","57208274339; 21742204200; 7005888644","CILP: Co-Simulation-Based Imitation Learner for Dynamic Resource Provisioning in Cloud Computing Environments","2023","IEEE Transactions on Network and Service Management","20","4","","4448","4460","12","2","10.1109/TNSM.2023.3268250","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153519528&doi=10.1109%2fTNSM.2023.3268250&partnerID=40&md5=db7d62d95a0c10a1421c51a768ad1fba","Intelligent Virtual Machine (VM) provisioning is central to cost and resource efficient computation in cloud computing environments. As bootstrapping VMs is time-consuming, a key challenge for latency-critical tasks is to predict future workload demands to provision VMs proactively. However, existing AI-based solutions tend to not holistically consider all crucial aspects such as provisioning overheads, heterogeneous VM costs and Quality of Service (QoS) of the cloud system. To address this, we propose a novel method, called CILP, that formulates the VM provisioning problem as two sub-problems of prediction and optimization, where the provisioning plan is optimized based on predicted workload demands. CILP leverages a neural network as a surrogate model to predict future workload demands with a co-simulated digital-twin of the infrastructure to compute QoS scores. We extend the neural network to also act as an imitation learner that dynamically decides the optimal VM provisioning plan. A transformer based neural model reduces training and inference overheads while our novel two-phase decision making loop facilitates in making informed provisioning decisions. Crucially, we address limitations of prior work by including resource utilization, deployment costs and provisioning overheads to inform the provisioning decisions in our imitation learning framework. Experiments with three public benchmarks demonstrate that CILP gives up to 22% higher resource utilization, 14% higher QoS scores and 44% lower execution costs compared to the current online and offline optimization based state-of-the-art methods.  © 2004-2012 IEEE.","cloud computing; co-simulation; imitation learning; Resource provisioning","Cloud computing; Cost benefit analysis; Decision making; Forecasting; Job analysis; Learning systems; Virtual machine; Cloud-computing; Cosimulation; Imitation learning; Optimisations; Predictive models; Quality-of-service; Resource provisioning; Task analysis; Time factors; Quality of service","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85153519528"
"Kuka N.; Verardi R.; Ariaudo C.; Dolcini A.","Kuka, N. (34978736700); Verardi, R. (38663604800); Ariaudo, C. (34869234600); Dolcini, A. (57188968156)","34978736700; 38663604800; 34869234600; 57188968156","Railway vehicle driveline modelling and co-simulations in SIMPACK-simulink","2016","Civil-Comp Proceedings","110","","","","","","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84964407575&partnerID=40&md5=0dc6c03d896d772986f5ad1ee80e5ce3","Railway operators continuously challenge the rail industry to increase vehicle performances and capacity, without compromising the level of running safety, but possibly reducing the level of aggressiveness of the rolling stock on the track. Among the performances, the markets in the last decades are demanding for more traction capacity on regional trains, freight locomotives and metro, but with an eye always turned to minimize the damages on the track. Therefore the optimisation of the vehicle design respect to dynamic behaviour, including the interaction with traction and braking systems, through complex and reliable simulation models of whole traction chain, is unavoidable in order to give the right response to railway undertaking. Alstom developed, in the past, different standalone models to simulate the electrical and mechanical systems of the drive line, but such an approach did not take into account the feedback (in a closed loop) of the electric system on the whole dynamics of the vehicle and on the wheel-rail interaction. The need for a more complete modelling system has led to the development of a co-simulation methodology in a closed loop, in SIMPACK/Simulink environments. This paper presents first a synthesis of the Alstom experiences on the drive line modelling, then an overview of the new methodology for the co-simulation of the whole vehicle, including the traction chain. Then the description of the model's setup and the main characteristics used for the simulations, in order to optimize the system design, both in terms of traction/braking performances and fatigue loads on the components, is given. Finally the model validation process, the results obtained and the future evolutions are presented and discussed. © Civil-Comp Press, 2016.","Electro-mechanical co-simulation; Fatigue loads; Mechanical vibrations; Traction and braking behaviour; Traction chain; Vehicle dynamics; Wheel/rail contact","Accident prevention; Chains; Electric lines; Engines; Railroad rolling stock; Railroad transportation; Railroads; Rails; Transportation; Vehicle performance; Vehicle wheels; Vehicles; Wheels; Cosimulation; Dynamic behaviours; Fatigue loads; Freight locomotives; Traction capacities; Vehicle dynamics; Wheel-rail interaction; Wheel/rail contact; Vibrations (mechanical)","Conference paper","Final","","Scopus","2-s2.0-84964407575"
"Nouidui T.S.; Coignard J.; Gehbauer C.; Wetter M.; Joo J.-Y.; Vrettos E.","Nouidui, Thierry S. (55504548200); Coignard, Jonathan (57191476825); Gehbauer, Christoph (56974244000); Wetter, Michael (6603637286); Joo, Jhi-Young (36095896800); Vrettos, Evangelos (48561665300)","55504548200; 57191476825; 56974244000; 6603637286; 36095896800; 48561665300","CyDER–an FMI-based co-simulation platform for distributed energy resources","2019","Journal of Building Performance Simulation","12","5","","566","579","13","11","10.1080/19401493.2018.1535623","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057304041&doi=10.1080%2f19401493.2018.1535623&partnerID=40&md5=ead1e5e82fac54abcec5a9a671dab4e3","The increased integration of distributed energy resources (DERs) is bringing a number of challenges to the power grid. These include reverse power flows in distribution systems and potentially transmission systems and grid stability. So far, specialized tools have been developed to capture some of the impact of DERs at the distribution level. However, distribution system operators lack visibility into the overall system conditions. Furthermore, the impact of increasing DERs is not limited to the distribution level but also influences the transmission grid. To support the planning and operation of the grid, we developed a co-simulation platform called CyDER (A Cyber Physical Co-simulation Platform for Distributed Energy Resources in Smart Grids) that integrates various domain-specific simulation tools. CyDER is based on the functional mock-up interface standard. This paper gives an overview of CyDER and demonstrates its use based on two applications. © 2018, © 2018 International Building Performance Simulation Association (IBPSA).","co-simulation; distributed energy resources; functional mock-up interface; functional mock-up unit; Modelica; power grid","Electric power transmission; Electric power transmission networks; Energy resources; Mockups; Co-simulations; Distributed Energy Resources; functional mock-up unit; Modelica; Power grids; Smart power grids","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85057304041"
"Moulema P.; Yu W.; Mallapuram S.; Griffith D.; Golmie N.","Moulema, Paul (55370642300); Yu, Wei (34973528100); Mallapuram, Sriharsha (56333453400); Griffith, David (57888146000); Golmie, Nada (6701448030)","55370642300; 34973528100; 56333453400; 57888146000; 6701448030","Assessing performance of smart grid applications using Co-simulation","2017","Advances in Computer Communications and Networks From Green, Mobile, Pervasive Networking to Big Data Computing","","","","281","318","37","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071823569&partnerID=40&md5=d12065c5ab212a954e9738140fbb7166","The smart grid is a complex system that comprises components from both the power grid and communication networks. To understand the behavior of such a complex system, co-simulation is a viable tool to capture the interaction and the reciprocal effects between a communication network and a physical power grid. In this chapter, we systematically review the existing efforts of cosimulation and propose a framework to explore co-simulation scenarios. Using the demand response and energy price as examples of smart grid applications, and operating the communication network under various conditions (e.g., normal operation, degraded performance, and security threats), we evaluate the performance of smart grid applications by leveraging the co-simulation platform. In addition, we conduct a co-simulation study to investigate the impact of wireless network implementations, including the wireless mesh architecture based on Ad hoc On-Demand Distance Vector (AODV) protocol, and the Worldwide Interoperability for Microwave Access (WiMAX) architecture, on the performance of smart grid applications. © 2017 River Publishers.","Co-simulation; Communication network; Cyberattacks; Demand response; Dynamic pricing; Energy market; FNCS; Framework; GridLAB-D; GridMat; NS-3; Power Grid; Scenarios; Security; Simulation; Smart Grid; Substation","","Book chapter","Final","","Scopus","2-s2.0-85071823569"
